Position,Review Text
1,"['highly', 'recommend']"
2,"['working', 'month', 'complaint', 'everything', 'fine']"
3,"['quite', 'good', 'router', 'satisfied', 'everything', 'recommend']"
4,"['received', 'quickly', 'rozetka', 'store', 'setup', 'provider', 'discrepancy', 'mac', 'code', 'packaging', 'setting', 'via', 'ip', 'address', 'adjustment', 'everything', 'worked', 'discrepancy', 'appeared', 'device', 'connected', 'network', 'quickly', 'maximum', 'frequency', 'capability', 'far', 'everything', 'work', 'great', 'setting', 'browser', 'clear', 'work', 'great']"
5,"['work', 'fine', 'complaint', 'lag', 'signal', 'drop']"
6,"['everything', 'super']"
7,"['great', 'router', 'work', 'well', 'easy', 'set', 'satisfied', 'older', 'newer', 'device', 'receive', 'good', 'signal']"
8,"['thank', 'much', 'fast', 'delivery']"
9,"['compared', 'previous', 'router', 'year', 'old', 'one', 'work', 'great', 'fast']"
10,"['super', 'load', 'work']"
11,"['working', 'properly', 'half', 'year', 'without', 'interruption']"
12,"['good', 'router', 'fast', 'setup', 'top', 'everyday', 'use']"
13,"['everything', 'according', 'description', 'work', 'fast', 'setup', 'quite', 'simple']"
14,"['bought', 'almost', 'year', 'ago', 'everything', 'work', 'without', 'complaint', 'problem', 'found', 'ups', 'pierce', 'three', 'wall', 'covering', 'almost', 'entire', 'house', 'generation']"
15,['liked']
16,['class']
17,"['internet', 'speed', 'become', 'much', 'better', 'previously', 'thought', 'provider', 'fault', 'far', 'satisfied', 'nothing', 'hang', 'enough', 'apartment', 'problem', 'power', 'outage', 'working', 'ups', 'either']"
18,"['modern', 'router', 'home', 'office', 'work', 'quite', 'stably', 'quickly', 'configured', 'rich', 'functionality', 'bought', 'many', 'different', 'office', 'everything', 'work', 'without', 'problem']"
19,['super']
20,"['work', 'well', 'like', 'neighbor', 'interfere', 'signal']"
21,"['work', 'stably', 'sufficient', 'coverage', 'apartment']"
22,"['device', 'working', 'long', 'time', 'arrived', 'quickly']"
23,['nice']
24,"['everything', 'work', 'well', 'shipped', 'quickly', 'good', 'router', 'recommend']"
25,"['good', 'ordered', 'received', 'work']"
26,"['purchased', 'archer', 'instead', 'old', 'expected', 'speed', 'increase', 'well', 'probably', 'two', 'three', 'time', 'immediately', 'impressed', 'fact', 'internet', 'speed', 'increased', 'order', 'magnitude', 'smartphone', 'instead', 'usual', 'mbps', 'showed', 'mbps', 'speed', 'test', 'even', 'far', 'room', 'apartment', 'three', 'concrete', 'wall', 'give', 'average', 'mbps', 'old', 'asus', 'laptop', 'year', 'old', 'showed', 'speed', 'mbps', 'via', 'cable', 'although', 'show', 'mbps', 'air', 'но', 'also', 'impressive', 'result', 'possible', 'watch', 'movie', 'peacefully', 'without', 'constant', 'freeze', 'among', 'minus', 'absence', 'button', 'unless', 'unplug', 'cord', 'router', 'disconnect', 'power', 'supply', 'network', 'turn', 'button', 'extension', 'cord', 'also', 'possible', 'turn', 'router', 'app', 'figured', 'yet', 'need', 'connect', 'cloud']"
27,"['everything', 'work', 'cool']"
28,"['work', 'well']"
29,"['everything', 'seems', 'fine']"
