Position,Review Text
1,"Highly recommend."
2,"Working for a month, no complaints, everything is fine"
3,"Quite a good router, satisfied with everything, I recommend :)"
4,"Received quickly through the Rozetka store. During setup with the provider, there was a discrepancy with the MAC code on the packaging? (((-. But through the settings via IP address and other adjustments, everything worked out, and here the discrepancy appeared. All devices connected to the network very quickly and at maximum frequencies (capabilities). So far everything works great. The settings browser is very clear and works great."
5,"Works fine no complaints. Does not lag and the signal does not drop."
6,"Everything is super"
7,"Great router, works well and is very easy to set up, I am satisfied. Both older and newer devices receive a good signal from it."
8,"thank you very much for the fast delivery"
9,"Compared to the previous router, which was 5 years old, this one works great and very fast.)"
10,"Super, loads, works"
11,"Has been working properly for half a year without interruption"
12,"Good router, fast setup, top for everyday use."
13,"Everything is according to the description, works fast, setup is quite simple."
14,"Bought almost a year ago, everything works without complaints. No problems found with the UPS. Wi-Fi pierces through three walls, covering almost the entire house on the 6th generation."
15,"Liked it"
16,"Class!"
17,"Internet speed has become much better. Previously thought it was the provider's fault. So far satisfied, nothing hangs. Enough for the apartment. There were no problems during power outages and working with a UPS either"
18,"High-quality modern router for home and office, works quite stably, quickly configured, rich functionality, bought many for different offices, everything works without problems."
19,"Super"
20,"Works well, I like that now the neighbor's Wi-Fi doesn't interfere with the signal"
21,"Works stably. Sufficient coverage for the apartment."
22,"High-quality device, has been working for a long time. Arrived quickly."
23,"Nice .."
24,"Everything works well. Shipped quickly. Good router. I recommend"
25,"All good. Ordered. Received. Works."
26,"Purchased TP-Link Archer AX12 instead of the old TP-Link 841. Expected the speed to increase, well, probably two or three times, but was immediately impressed by the fact that the internet speed increased by an order of magnitude. The smartphone instead of the usual 30-50 Mbps showed more than 300 Mbps on the speed test. Even in the far room of the apartment, through three concrete walls, it gives an average of 150 Mbps. An old Asus laptop, more than 10 years old, showed a speed of 720 Mbps via cable, although it shows only 35 Mbps over the air. Но for it, this is also an impressive result, because now it's possible to watch a movie peacefully, without constant freezes)) Among the minuses - the absence of an off button, unless you unplug the cord from the router, disconnect the power supply from the network, or turn off the button on the extension cord. It is also possible to turn off the router through the app, but haven't figured it out yet, you need to connect to the cloud there."
27,"Everything works very cool !"
28,"Works well"
29,"Everything seems fine"
